Country,Region,Year,GDP_per_capita,Life_expectancy
Turkiye,Middle East,2015,11006.0,76.5
Israel,Middle East,2012,33995.0,81.7
Saudi Arabia,Middle East,2014,20328.0,74.5
Kuwait,Middle East,2011,33167.0,74.6
Oman,Middle East,2015,18445.0,76.9
